HAPPINESS,AGE,INCOME,EDUCATION,MARITAL_STATUS,GENDER,EMPLOYMENT_STATUS,HEALTH,RELIGION,SOCIAL_CONTACT,POLITICAL_VIEWS
,60.0,,10.0,Married,Female,,Fair,Religious,2.0,
Pretty Happy,31.0,116626.0,8.0,Single,Female,Employed,Poor,Religious,18.0,Moderate
Pretty Happy,37.0,38532.0,13.0,Single,Male,Employed,Good,,15.0,
Pretty Happy,29.0,146412.0,,Single,Female,Employed,Good,Religious,10.0,Moderate
Pretty Happy,,34966.0,19.0,Single,Female,Employed,Excellent,Not Religious,1.0,Liberal
Pretty Happy,,20942.0,10.0,Married,Male,Unemployed,Fair,Religious,,Conservative
Pretty Happy,66.0,134840.0,12.0,Single,Female,Employed,Good,Not Religious,4.0,Conservative
Not Too Happy,72.0,76299.0,8.0,Divorced,Male,Retired,Good,Religious,15.0,Conservative
Pretty Happy,82.0,48176.0,17.0,Married,Male,Retired,Excellent,Religious,4.0,Liberal
Pretty Happy,18.0,26898.0,14.0,,Female,Employed,Poor,Religious,5.0,Conservative
Very Happy,30.0,39158.0,17.0,Single,Male,Retired,Good,Religious,11.0,
Pretty Happy,80.0,139301.0,8.0,Divorced,Female,,Excellent,Religious,10.0,
Very Happy,33.0,59285.0,19.0,Married,Male,Employed,Good,Religious,,Liberal
Pretty Happy,36.0,139655.0,18.0,Single,,Employed,Good,Religious,17.0,Moderate
,80.0,50111.0,16.0,Divorced,Female,Employed,Good,Religious,2.0,Conservative
Very Happy,,,15.0,,Female,Employed,Fair,Religious,7.0,Moderate
Pretty Happy,49.0,,,Widowed,Male,,Good,Religious,11.0,Moderate
,30.0,41979.0,17.0,Single,Male,Employed,Poor,Religious,16.0,Conservative
Very Happy,65.0,33287.0,,Single,Male,Retired,Excellent,,16.0,Moderate
Not Too Happy,46.0,39630.0,12.0,Single,Male,Employed,Excellent,Religious,10.0,Moderate
Pretty Happy,61.0,,12.0,Married,,Retired,,Religious,13.0,Moderate
Very Happy,29.0,111688.0,18.0,Married,Female,Employed,Good,Not Religious,12.0,Conservative
,31.0,44187.0,12.0,Married,Female,Employed,,Not Religious,13.0,Liberal
Pretty Happy,72.0,69880.0,8.0,Married,Female,Employed,Fair,Religious,13.0,
,62.0,61925.0,,Married,Male,Employed,Fair,Religious,0.0,
,35.0,,19.0,Divorced,Male,Employed,Good,Religious,13.0,Moderate
Very Happy,,40511.0,18.0,Divorced,,Retired,Poor,Not Religious,13.0,Moderate
Very Happy,50.0,83489.0,8.0,,Female,Employed,,Religious,5.0,Conservative
,75.0,68579.0,11.0,Divorced,Female,Retired,Fair,Religious,12.0,Conservative
Pretty Happy,36.0,46258.0,16.0,Single,Female,Unemployed,Good,Not Religious,7.0,Liberal
Pretty Happy,50.0,108855.0,,Married,Female,Retired,Good,Religious,4.0,Moderate
Pretty Happy,61.0,71265.0,12.0,Married,,Employed,Fair,Religious,0.0,Liberal
Not Too Happy,,98334.0,11.0,,Male,Employed,,Religious,11.0,Liberal
Pretty Happy,18.0,123652.0,10.0,Single,Male,Student,Excellent,Religious,14.0,Moderate
Pretty Happy,51.0,53160.0,10.0,,Female,Unemployed,Good,Not Religious,14.0,Conservative
Pretty Happy,50.0,26931.0,19.0,Single,Male,Employed,Good,Not Religious,10.0,Conservative
Very Happy,47.0,146901.0,12.0,Married,Male,,,Religious,17.0,Liberal
Pretty Happy,45.0,114458.0,17.0,Single,Female,,Good,Religious,6.0,Liberal
Very Happy,35.0,22870.0,8.0,Divorced,Female,Employed,Poor,Religious,8.0,Moderate
Very Happy,84.0,91407.0,12.0,Single,Female,Retired,Good,Religious,16.0,Moderate
Not Too Happy,51.0,81348.0,13.0,Widowed,Female,Employed,Good,Religious,10.0,Liberal
Not Too Happy,61.0,68972.0,14.0,Divorced,Female,Employed,Fair,Religious,4.0,Conservative
Pretty Happy,33.0,142620.0,19.0,Divorced,Male,Employed,Good,Religious,19.0,Conservative
Pretty Happy,58.0,71871.0,16.0,Divorced,Male,Employed,Poor,Religious,11.0,Moderate
Very Happy,62.0,52909.0,10.0,Divorced,Female,Unemployed,Good,,6.0,Conservative
Very Happy,82.0,41061.0,9.0,Single,Female,Retired,Good,Religious,5.0,Liberal
Very Happy,85.0,96747.0,10.0,Married,Male,Employed,Excellent,Religious,16.0,Moderate
Pretty Happy,18.0,78271.0,19.0,Married,Female,Retired,Good,Religious,17.0,Moderate
Pretty Happy,28.0,28006.0,16.0,Single,Male,Employed,,Religious,15.0,Liberal
Pretty Happy,20.0,,19.0,Married,Male,Employed,Fair,Religious,3.0,Conservative
Very Happy,45.0,40738.0,14.0,Married,Female,Employed,Excellent,Religious,5.0,Moderate
Not Too Happy,55.0,41910.0,16.0,Widowed,Male,Employed,Excellent,Religious,1.0,Moderate
Pretty Happy,24.0,60615.0,9.0,Divorced,,Employed,Excellent,Religious,,
Pretty Happy,69.0,108767.0,12.0,Divorced,,Employed,Excellent,Religious,5.0,Liberal
Pretty Happy,,88433.0,11.0,Married,Female,Retired,Good,Religious,,
Pretty Happy,80.0,57170.0,9.0,Married,Male,Employed,Fair,Not Religious,16.0,Moderate
Very Happy,25.0,98122.0,,Married,Female,Retired,,Religious,11.0,Moderate
Pretty Happy,22.0,133012.0,16.0,Married,Female,Employed,Fair,Religious,6.0,Liberal
Pretty Happy,25.0,27342.0,13.0,,Male,Student,Fair,Religious,16.0,Moderate
Very Happy,70.0,48309.0,,Married,Female,Retired,Excellent,Religious,0.0,Moderate
Very Happy,,104918.0,13.0,Divorced,Male,Employed,Fair,Religious,17.0,Moderate
Very Happy,43.0,96600.0,15.0,Single,Female,Retired,Excellent,Religious,13.0,Moderate
Very Happy,,100647.0,13.0,Married,Female,,Good,Religious,17.0,
Not Too Happy,54.0,104872.0,8.0,Married,Female,,Good,Religious,3.0,Moderate
Pretty Happy,,,11.0,Single,Male,Employed,Excellent,Religious,15.0,
,35.0,26364.0,,Married,Female,Unemployed,Fair,Religious,0.0,Liberal
Very Happy,25.0,30342.0,9.0,Divorced,Male,Retired,Good,Not Religious,10.0,Liberal
Pretty Happy,30.0,86261.0,16.0,Married,Male,Employed,Fair,Religious,8.0,Liberal
,27.0,19723.0,15.0,Married,Female,Employed,Good,Not Religious,3.0,Moderate
Very Happy,,98868.0,15.0,Married,Male,Retired,Excellent,Not Religious,5.0,Liberal
Pretty Happy,58.0,21625.0,14.0,Married,Female,Employed,Fair,Religious,8.0,Liberal
Pretty Happy,37.0,24739.0,11.0,Single,Male,Employed,Excellent,Religious,16.0,Moderate
Pretty Happy,68.0,25712.0,9.0,Single,Male,Employed,Good,Religious,18.0,Liberal
Pretty Happy,59.0,130110.0,10.0,Single,Female,Employed,Excellent,Not Religious,13.0,Liberal
Very Happy,26.0,145721.0,19.0,Married,Male,Student,,Not Religious,,Liberal
,68.0,105156.0,13.0,Single,Female,Employed,Good,Religious,17.0,Moderate
Pretty Happy,67.0,140630.0,19.0,Single,Female,Employed,Good,Not Religious,10.0,Liberal
Pretty Happy,48.0,109935.0,19.0,Divorced,Female,Unemployed,Poor,Religious,17.0,Moderate
Not Too Happy,71.0,84723.0,12.0,Married,Male,Retired,Fair,Religious,11.0,Moderate
Pretty Happy,63.0,52872.0,19.0,Married,Female,,Fair,Not Religious,13.0,Moderate
Very Happy,38.0,150242.0,15.0,Single,Female,Employed,Fair,Not Religious,11.0,Moderate
Very Happy,43.0,133055.0,13.0,Single,Female,Student,Excellent,Religious,19.0,Conservative
,57.0,,,Married,Female,Unemployed,,Not Religious,12.0,Liberal
,74.0,40043.0,8.0,Married,Female,Employed,Excellent,Not Religious,7.0,Liberal
Pretty Happy,,110076.0,11.0,Married,Female,Employed,Excellent,Not Religious,,Liberal
Not Too Happy,19.0,87923.0,12.0,Divorced,Female,Employed,Poor,Not Religious,5.0,Liberal
Pretty Happy,40.0,58940.0,19.0,Married,Male,Employed,Good,Not Religious,,Liberal
Pretty Happy,47.0,32114.0,18.0,Divorced,Male,Employed,Good,Religious,18.0,Liberal
Pretty Happy,75.0,76020.0,10.0,Single,Female,Retired,Excellent,Not Religious,4.0,Moderate
Pretty Happy,73.0,144300.0,16.0,Divorced,Male,Employed,Good,Religious,,Moderate
Pretty Happy,76.0,25078.0,8.0,Divorced,,Retired,Excellent,Not Religious,9.0,Liberal
Not Too Happy,22.0,23161.0,13.0,Married,Male,Employed,Excellent,,16.0,Moderate
Pretty Happy,62.0,144834.0,13.0,Divorced,Female,Retired,Excellent,Religious,3.0,Liberal
Not Too Happy,47.0,83898.0,17.0,,,Retired,Good,Religious,3.0,Liberal
,,82886.0,,Divorced,Male,Employed,Good,Religious,5.0,Moderate
Very Happy,73.0,100414.0,19.0,Single,Female,Employed,Excellent,,15.0,Liberal
Very Happy,40.0,129976.0,12.0,Married,Female,Employed,Fair,Not Religious,3.0,Liberal
Very Happy,40.0,126404.0,17.0,Single,Female,Retired,Excellent,Not Religious,7.0,Moderate
,49.0,,12.0,Widowed,Male,Retired,,Religious,10.0,Conservative
Very Happy,24.0,,13.0,Married,Female,Employed,Poor,Not Religious,13.0,Moderate
Pretty Happy,39.0,,15.0,Single,Female,Employed,Good,Not Religious,5.0,Liberal
Very Happy,75.0,,9.0,,,Employed,Fair,Religious,18.0,Conservative
Pretty Happy,45.0,140693.0,13.0,Divorced,Male,Retired,Poor,Religious,6.0,Moderate
Not Too Happy,66.0,72895.0,8.0,Married,Female,Employed,,Not Religious,,Moderate
Very Happy,,134518.0,11.0,,Female,Employed,,Religious,4.0,Conservative
Not Too Happy,68.0,139654.0,17.0,Married,Female,Employed,,Not Religious,16.0,Moderate
,54.0,77216.0,10.0,Single,Male,Employed,Good,Not Religious,11.0,Liberal
,85.0,20825.0,,Married,Female,Retired,Excellent,Not Religious,6.0,Moderate
Pretty Happy,53.0,54301.0,,Divorced,Female,Employed,Poor,Religious,0.0,Moderate
Pretty Happy,49.0,21385.0,13.0,Married,Male,Unemployed,Fair,Religious,3.0,Moderate
Not Too Happy,26.0,86903.0,8.0,Single,Male,Employed,Excellent,Religious,16.0,Moderate
Pretty Happy,57.0,148823.0,19.0,Married,,,Good,Religious,,Conservative
Not Too Happy,57.0,,13.0,Married,Male,,Fair,Religious,12.0,
Very Happy,73.0,29270.0,11.0,Married,Male,Student,Good,Religious,3.0,Conservative
,31.0,39541.0,15.0,Married,Female,Retired,Good,Religious,19.0,Conservative
Pretty Happy,18.0,35569.0,,,Female,Employed,Fair,Not Religious,5.0,Conservative
Not Too Happy,35.0,27535.0,16.0,Divorced,Female,Employed,Good,Religious,,Liberal
Not Too Happy,56.0,,11.0,Single,Female,Retired,Good,Religious,13.0,Liberal
Pretty Happy,35.0,75163.0,17.0,Widowed,Male,,Fair,,9.0,Moderate
Pretty Happy,36.0,129865.0,19.0,Divorced,Male,Employed,Fair,Religious,3.0,Conservative
,39.0,46282.0,17.0,,Female,Retired,,Religious,4.0,
Pretty Happy,28.0,123112.0,13.0,Divorced,Male,Retired,Good,Not Religious,19.0,Moderate
Not Too Happy,63.0,,8.0,Single,,Student,,Religious,13.0,Liberal
Not Too Happy,64.0,147615.0,11.0,Married,Male,Student,,Not Religious,12.0,Liberal
Pretty Happy,26.0,44791.0,14.0,Single,Male,Retired,Excellent,Religious,4.0,Moderate
,23.0,146629.0,19.0,Married,Female,,Excellent,Not Religious,4.0,Liberal
Pretty Happy,51.0,109288.0,8.0,Single,,Employed,Good,Not Religious,5.0,Liberal
Very Happy,57.0,52388.0,15.0,Single,Male,,,Not Religious,16.0,Liberal
Not Too Happy,58.0,34361.0,19.0,Married,Male,Employed,,Not Religious,4.0,Liberal
Pretty Happy,78.0,98191.0,17.0,Married,Female,Employed,Excellent,Not Religious,12.0,Moderate
Not Too Happy,76.0,118698.0,19.0,Divorced,Male,Employed,Excellent,Not Religious,13.0,
Pretty Happy,31.0,,18.0,Single,Female,Employed,Fair,Religious,1.0,Moderate
Not Too Happy,20.0,29336.0,,Married,Male,Employed,,Religious,13.0,Liberal
,,130146.0,,Single,,Employed,Good,Religious,8.0,Conservative
,48.0,115854.0,17.0,Single,Female,Employed,Good,Religious,6.0,Liberal
Not Too Happy,80.0,20286.0,18.0,Single,Male,Employed,Fair,,6.0,
Very Happy,50.0,50143.0,16.0,Widowed,Male,Retired,Good,Religious,14.0,Moderate
Pretty Happy,,102710.0,9.0,Single,Male,Employed,Excellent,Not Religious,12.0,Liberal
Not Too Happy,77.0,142856.0,12.0,Married,Female,Employed,Good,Not Religious,1.0,Conservative
Not Too Happy,61.0,50448.0,13.0,Divorced,Male,Retired,Poor,Religious,2.0,Moderate
Pretty Happy,70.0,,,Divorced,Female,Employed,Good,Religious,19.0,Moderate
Pretty Happy,49.0,71510.0,12.0,Married,Male,Employed,Poor,Not Religious,13.0,Liberal
,58.0,132863.0,16.0,Married,,Employed,Fair,Religious,12.0,
Very Happy,35.0,47082.0,8.0,Married,Male,Employed,Excellent,Not Religious,11.0,Moderate
Pretty Happy,66.0,39588.0,14.0,Single,Female,Student,Good,Religious,,Liberal
Pretty Happy,45.0,62780.0,17.0,Single,Male,Employed,Excellent,Religious,7.0,Liberal
Pretty Happy,25.0,101698.0,14.0,Single,Male,Unemployed,Good,Religious,10.0,Conservative
Pretty Happy,27.0,66617.0,,Divorced,Male,Employed,Excellent,Not Religious,14.0,Moderate
Pretty Happy,,66850.0,16.0,Single,Male,,Good,,0.0,Moderate
Very Happy,34.0,29995.0,19.0,Married,Male,Employed,Poor,Religious,11.0,Moderate
Pretty Happy,30.0,20849.0,18.0,Married,Female,Employed,Excellent,Religious,14.0,Moderate
Very Happy,18.0,31895.0,12.0,Married,Male,Employed,Fair,Religious,8.0,
Pretty Happy,21.0,79163.0,11.0,Married,Male,Employed,Excellent,Not Religious,,Liberal
,,127266.0,14.0,,Female,Employed,Excellent,Not Religious,12.0,Moderate
,28.0,89804.0,11.0,,Male,Unemployed,Fair,Religious,0.0,Conservative
Pretty Happy,62.0,56513.0,10.0,Married,,Employed,Good,Religious,,Liberal
Very Happy,18.0,140359.0,16.0,Single,Male,Retired,Fair,Religious,15.0,Moderate
Very Happy,77.0,106579.0,18.0,Single,Female,,Excellent,,7.0,Moderate
Pretty Happy,78.0,111854.0,15.0,,Male,Employed,Good,Not Religious,15.0,Moderate
Pretty Happy,48.0,111079.0,8.0,Married,Female,Employed,Fair,Religious,16.0,Conservative
,50.0,115126.0,14.0,Married,Male,Employed,Good,Not Religious,16.0,Moderate
Very Happy,68.0,45387.0,16.0,Married,Female,Retired,Good,Religious,10.0,Liberal
Pretty Happy,57.0,78691.0,15.0,Divorced,Male,Employed,Poor,,8.0,Conservative
Very Happy,68.0,,15.0,Married,Female,Retired,Good,,14.0,Moderate
Not Too Happy,64.0,128770.0,13.0,Married,Female,Employed,Poor,Not Religious,2.0,Conservative
Pretty Happy,72.0,,,Single,Female,Retired,Fair,Not Religious,0.0,Moderate
Very Happy,41.0,91673.0,11.0,Widowed,Male,Employed,Fair,Religious,13.0,Conservative
,25.0,33553.0,15.0,Married,Male,Retired,Excellent,Not Religious,5.0,Liberal
Not Too Happy,78.0,48090.0,10.0,Married,Male,,Good,Religious,10.0,Liberal
Pretty Happy,39.0,90055.0,16.0,Married,,Employed,Fair,Religious,7.0,Conservative
Pretty Happy,18.0,,9.0,Married,Male,,Excellent,Religious,16.0,Liberal
Not Too Happy,58.0,124415.0,9.0,,Female,Employed,Excellent,Not Religious,13.0,Liberal
Not Too Happy,33.0,104067.0,,Single,Male,Student,Good,Religious,6.0,Moderate
Not Too Happy,43.0,97356.0,19.0,Married,Male,Employed,Excellent,Religious,15.0,Conservative
Pretty Happy,45.0,61017.0,14.0,Married,,Employed,,Religious,,
,18.0,102190.0,19.0,Divorced,Female,Employed,Fair,Religious,17.0,Conservative
Very Happy,,,17.0,Married,Male,Employed,Good,Religious,6.0,Moderate
Pretty Happy,72.0,92029.0,11.0,Married,Female,Employed,Excellent,Not Religious,1.0,Moderate
Pretty Happy,52.0,75264.0,17.0,Married,Male,Unemployed,Fair,Not Religious,11.0,Conservative
,65.0,38990.0,15.0,Widowed,,Employed,Good,Religious,,
Not Too Happy,,,16.0,Married,Female,Student,Poor,Not Religious,15.0,Liberal
Very Happy,34.0,61205.0,14.0,Divorced,Female,Employed,Good,Not Religious,9.0,Liberal
Pretty Happy,72.0,53452.0,12.0,Single,Female,Employed,Good,Religious,19.0,Moderate
Very Happy,,95518.0,15.0,Married,Male,Retired,Good,Not Religious,12.0,Moderate
,63.0,98510.0,,Widowed,Male,Unemployed,Poor,Not Religious,5.0,Conservative
Very Happy,48.0,78182.0,9.0,Married,Female,Employed,Good,,0.0,Moderate
Very Happy,69.0,46696.0,18.0,Married,Male,Unemployed,Good,Religious,4.0,Moderate
Very Happy,,149037.0,19.0,Divorced,Female,Employed,Excellent,Not Religious,12.0,Moderate
Pretty Happy,75.0,108293.0,13.0,,Male,Employed,Fair,Religious,11.0,
Pretty Happy,57.0,20748.0,16.0,Single,Male,Retired,Fair,Religious,10.0,Liberal
Pretty Happy,69.0,58161.0,8.0,Married,Male,,Good,Religious,8.0,Conservative
Not Too Happy,35.0,94875.0,18.0,Married,Male,Employed,,Religious,14.0,Liberal
Pretty Happy,64.0,31369.0,17.0,Single,Female,Retired,Excellent,Not Religious,2.0,Liberal
Very Happy,58.0,21040.0,19.0,Married,Female,,,Religious,,Moderate
Not Too Happy,39.0,144287.0,14.0,Married,Female,Employed,Excellent,Religious,11.0,
Very Happy,66.0,86986.0,,Married,,,Excellent,Religious,3.0,
Not Too Happy,,96151.0,16.0,Married,Female,Employed,Good,Religious,6.0,
Very Happy,67.0,125593.0,17.0,Divorced,Female,Student,Excellent,Religious,6.0,Liberal
Not Too Happy,26.0,57674.0,16.0,Married,Male,Retired,Excellent,Religious,3.0,Liberal
Very Happy,18.0,,17.0,Widowed,Female,Employed,Fair,Not Religious,9.0,Moderate
Not Too Happy,29.0,75745.0,18.0,Married,Male,Employed,Good,Religious,14.0,Liberal
Pretty Happy,49.0,42029.0,10.0,Single,Male,Employed,Good,,9.0,Moderate
Not Too Happy,19.0,56162.0,18.0,Married,Female,,,Religious,4.0,Conservative
Very Happy,65.0,,12.0,Married,Male,Unemployed,Good,Religious,18.0,Conservative
Pretty Happy,55.0,110300.0,15.0,,,,Excellent,Religious,7.0,Liberal
Not Too Happy,86.0,144570.0,15.0,Married,Male,Student,Fair,Religious,16.0,Moderate
Pretty Happy,71.0,94800.0,11.0,,Male,Employed,Excellent,Not Religious,5.0,Moderate
Pretty Happy,61.0,141334.0,19.0,Widowed,Female,Employed,Good,Religious,1.0,Conservative
Pretty Happy,43.0,118482.0,18.0,Single,Male,Employed,Good,Not Religious,17.0,Conservative
Pretty Happy,32.0,108548.0,18.0,Married,Male,Employed,Fair,Religious,0.0,Liberal
Pretty Happy,39.0,,8.0,Married,,Employed,Good,Not Religious,,Moderate
,26.0,74300.0,8.0,Married,Male,Employed,Good,Religious,0.0,Liberal
,,131935.0,11.0,Single,,Unemployed,Excellent,Not Religious,6.0,Liberal
Very Happy,58.0,141605.0,13.0,,Male,Retired,Good,Religious,0.0,Liberal
Very Happy,53.0,122282.0,,Divorced,Female,Employed,Poor,Religious,6.0,Moderate
Not Too Happy,18.0,92076.0,13.0,Married,Female,Employed,Fair,Religious,0.0,Moderate
Not Too Happy,38.0,30456.0,19.0,Single,Female,Employed,Excellent,Not Religious,9.0,
Pretty Happy,44.0,114411.0,16.0,Married,Female,Retired,Good,Religious,17.0,Moderate
Pretty Happy,33.0,69448.0,16.0,Single,Female,,Poor,,13.0,Liberal
Very Happy,67.0,129050.0,9.0,,Male,Employed,Good,Not Religious,15.0,Moderate
,65.0,27815.0,,Single,Male,Employed,Good,Religious,8.0,Liberal
Pretty Happy,76.0,68798.0,8.0,Single,Male,Employed,Poor,Not Religious,4.0,Liberal
Pretty Happy,84.0,74445.0,9.0,Married,,Employed,,Religious,17.0,Moderate
Pretty Happy,85.0,,12.0,Single,Male,Employed,Good,Not Religious,,Liberal
Very Happy,83.0,43723.0,11.0,Married,Male,Retired,,Religious,19.0,Moderate
Not Too Happy,46.0,73691.0,11.0,Single,,,Good,Religious,16.0,Liberal
Not Too Happy,57.0,118722.0,16.0,Married,Male,,Fair,Religious,10.0,Moderate
Pretty Happy,65.0,130449.0,18.0,Single,,Retired,Excellent,Not Religious,4.0,Liberal
Pretty Happy,28.0,70002.0,15.0,Divorced,Female,Student,Excellent,,9.0,Moderate
Pretty Happy,,,,Divorced,Male,Employed,,Religious,5.0,
Not Too Happy,19.0,75897.0,,Divorced,Female,Employed,Excellent,Not Religious,2.0,Liberal
,32.0,30995.0,9.0,Single,Female,,Good,Religious,9.0,Moderate
Very Happy,28.0,69386.0,13.0,Single,Male,Employed,Good,Not Religious,13.0,Liberal
Not Too Happy,35.0,147581.0,18.0,Single,Male,Student,Good,Not Religious,18.0,Moderate
Not Too Happy,18.0,,9.0,,Male,Student,Good,Not Religious,2.0,Liberal
Not Too Happy,66.0,93180.0,17.0,Married,Male,,,Not Religious,20.0,Moderate
Pretty Happy,36.0,43180.0,12.0,Widowed,Female,Retired,Excellent,Religious,12.0,Moderate
,82.0,87982.0,12.0,Divorced,Male,Retired,,Religious,4.0,Conservative
Pretty Happy,,77830.0,13.0,Single,Male,Unemployed,Poor,Not Religious,12.0,Moderate
,38.0,138936.0,13.0,Married,Female,,Good,Religious,17.0,Moderate
Not Too Happy,40.0,,13.0,Married,Female,,Good,Religious,12.0,Moderate
Very Happy,79.0,35348.0,9.0,Divorced,Female,Employed,Poor,Not Religious,5.0,Conservative
Very Happy,46.0,92306.0,17.0,Married,Female,Unemployed,Excellent,Religious,4.0,
Pretty Happy,,21662.0,10.0,Divorced,Female,,Good,Not Religious,7.0,Liberal
Not Too Happy,50.0,85279.0,13.0,Married,Male,Employed,,,7.0,Conservative
Not Too Happy,58.0,22846.0,15.0,Married,Female,Employed,Excellent,Not Religious,13.0,
Very Happy,26.0,107510.0,19.0,Divorced,Male,Retired,Fair,Not Religious,8.0,Conservative
,84.0,94701.0,18.0,Single,Female,,Fair,Not Religious,7.0,Conservative
Pretty Happy,58.0,34374.0,19.0,Single,Female,,Fair,Not Religious,3.0,Liberal
Not Too Happy,26.0,145620.0,8.0,Single,Male,Employed,Excellent,Religious,,Moderate
Not Too Happy,18.0,67466.0,8.0,Married,,Retired,Excellent,Religious,6.0,Liberal
Not Too Happy,,123411.0,18.0,,Female,Retired,Good,Not Religious,,Liberal
Pretty Happy,66.0,91288.0,9.0,Married,Male,Employed,Excellent,Not Religious,2.0,Liberal
Pretty Happy,87.0,32423.0,18.0,Divorced,Female,Employed,Good,Religious,15.0,Moderate
Very Happy,41.0,41680.0,19.0,,Male,Employed,Good,Religious,9.0,
Very Happy,39.0,29222.0,19.0,,,Student,Good,Religious,6.0,Liberal
Not Too Happy,40.0,128014.0,13.0,Single,Female,Employed,Good,Religious,2.0,
,24.0,,16.0,Single,,Employed,Good,Not Religious,8.0,Liberal
Not Too Happy,19.0,134391.0,11.0,Married,Female,Unemployed,Excellent,Not Religious,15.0,Liberal
Not Too Happy,68.0,43449.0,10.0,Widowed,Female,Employed,Good,Religious,11.0,Liberal
Pretty Happy,55.0,82218.0,19.0,Married,Female,Employed,Good,Religious,,
Pretty Happy,62.0,89380.0,15.0,Married,Male,Unemployed,Good,Religious,,Moderate
Not Too Happy,30.0,134239.0,18.0,Single,Female,Employed,Fair,Not Religious,1.0,Liberal
Not Too Happy,56.0,54220.0,,Single,Male,Retired,Fair,Religious,12.0,Conservative
Very Happy,63.0,,,Single,Female,Employed,Poor,Religious,0.0,Moderate
Pretty Happy,63.0,39272.0,19.0,Single,Male,Unemployed,Excellent,Religious,19.0,Liberal
Very Happy,57.0,,18.0,,Male,Unemployed,Excellent,Religious,3.0,Liberal
Not Too Happy,33.0,72455.0,12.0,Single,Female,Employed,,Religious,5.0,
Pretty Happy,42.0,141968.0,16.0,Married,Male,Employed,Fair,Religious,10.0,Moderate
Very Happy,63.0,35814.0,9.0,Married,Male,Unemployed,Good,Religious,7.0,Liberal
Pretty Happy,31.0,104825.0,10.0,Married,Male,Retired,Fair,Religious,6.0,Liberal
Pretty Happy,40.0,127914.0,14.0,Married,Male,Retired,Good,Religious,2.0,Conservative
Pretty Happy,53.0,,14.0,Single,Male,Retired,Poor,Not Religious,5.0,Liberal
Very Happy,65.0,44040.0,13.0,Married,Male,Employed,Poor,Not Religious,16.0,Liberal
Pretty Happy,35.0,78932.0,13.0,Married,Male,Employed,Excellent,Not Religious,17.0,Conservative
Pretty Happy,37.0,26028.0,9.0,Married,Male,Student,Good,,15.0,Moderate
Pretty Happy,27.0,96159.0,17.0,Divorced,Female,Employed,,Religious,11.0,Liberal
Pretty Happy,31.0,67683.0,13.0,Divorced,,Employed,Excellent,Religious,12.0,Moderate
Not Too Happy,,47553.0,11.0,Single,Female,,Good,Religious,9.0,Liberal
,69.0,93204.0,19.0,Divorced,Female,,Good,,13.0,Moderate
Pretty Happy,40.0,67209.0,10.0,Single,Male,Employed,Excellent,Not Religious,12.0,Moderate
Not Too Happy,43.0,31139.0,,Single,Female,Student,Good,Religious,10.0,Conservative
Pretty Happy,,34046.0,9.0,Married,Female,Employed,Good,Religious,9.0,Conservative
Very Happy,55.0,98897.0,8.0,Single,Female,Employed,Excellent,Religious,17.0,Conservative
Very Happy,27.0,114341.0,18.0,Single,Female,Student,Good,Not Religious,12.0,Conservative
Pretty Happy,29.0,135303.0,18.0,,Male,Student,Excellent,Religious,14.0,Moderate
Pretty Happy,55.0,97658.0,12.0,Single,Female,,Fair,Religious,9.0,Liberal
Pretty Happy,50.0,72660.0,9.0,Single,Female,Employed,,Religious,9.0,Moderate
Very Happy,30.0,76144.0,9.0,Single,Female,Retired,Fair,Religious,16.0,Moderate
Very Happy,18.0,24500.0,,Divorced,Male,Retired,Good,Not Religious,13.0,Conservative
Very Happy,68.0,143711.0,15.0,Married,Female,Unemployed,Excellent,,10.0,Liberal
,18.0,,17.0,Single,Female,Retired,Good,Not Religious,1.0,Conservative
Pretty Happy,22.0,54197.0,15.0,Married,Male,Unemployed,Good,Religious,8.0,Conservative
Pretty Happy,57.0,,11.0,,Male,,Good,Not Religious,20.0,Conservative
Pretty Happy,27.0,71880.0,8.0,Single,Male,Unemployed,Good,Not Religious,8.0,Conservative
Not Too Happy,47.0,50872.0,18.0,,Female,Employed,Good,,18.0,Liberal
Pretty Happy,82.0,64196.0,14.0,Single,Female,Retired,Excellent,Religious,11.0,
Pretty Happy,77.0,69441.0,8.0,,Female,,,Not Religious,,Liberal
Pretty Happy,56.0,,18.0,Single,Male,Employed,Fair,Religious,5.0,Liberal
Pretty Happy,76.0,79964.0,,Married,Female,Employed,,Not Religious,,Moderate
Pretty Happy,62.0,26070.0,,Single,Male,Employed,Good,Not Religious,2.0,Conservative
,74.0,96410.0,9.0,Married,Male,Employed,Fair,Not Religious,2.0,Conservative
Not Too Happy,48.0,84356.0,13.0,Single,Female,Unemployed,Good,Religious,2.0,Moderate
Very Happy,22.0,133335.0,13.0,Married,Female,Employed,Fair,Religious,11.0,Liberal
Not Too Happy,69.0,67017.0,,Divorced,Female,Retired,Good,,9.0,Liberal
Pretty Happy,21.0,148991.0,,Divorced,Female,Employed,Excellent,Religious,16.0,Liberal
Very Happy,,114298.0,12.0,Widowed,Male,,,Not Religious,,Liberal
Pretty Happy,65.0,135572.0,17.0,Single,Male,Retired,,Not Religious,2.0,
Not Too Happy,64.0,30895.0,11.0,Single,Female,Unemployed,Fair,Religious,2.0,Liberal
Pretty Happy,30.0,118514.0,12.0,Married,Female,Employed,,Not Religious,12.0,Liberal
Pretty Happy,,113172.0,19.0,Married,Male,Student,Good,Religious,,Liberal
